,name,in_degree,out_degree,total_degree
218,FRAGRANCE GROUP LIMITED,0,1,1
219,FRASER AND NEAVE LIMITED,1,0,1
220,FRASERS CENTREPOINT ASSET MANAGEMENT LIMITED,2,1,3
221,FRASERS COMMERCIAL ASSET MANAGEMENT LIMITED,2,1,3
222,FRASERS HOSPITALITY ASSET MANAGEMENT PRIVATE LIMITED,2,1,3
223,FRASERS LOGISTICS & INDUSTRIAL ASSET MANAGEMENT PRIVATE LIMITED,2,1,3
224,FRASERS PROPERTY LIMITED,1,4,5
225,FRENCKEN GROUP LIMITED,0,0,0
226,FSL TRUST MANAGEMENT PRIVATE LIMITED,1,1,2
227,FU YU CORPORATION LIMITED,0,0,0
228,FUJI OFFSET PLATES MANUFACTURING LIMITED,0,0,0
229,FUJIAN ZHENYUN PLASTICS INDUSTRY COMPANY LIMITED,0,0,0
230,FULL APEX HOLDINGS LIMITED,0,0,0
231,FUXING CHINA GROUP LIMITED,0,0,0
232,G K GOH HOLDINGS LIMITED,0,0,0
233,GALLANT VENTURE LIMITED,1,0,1
234,GCCP RESOURCES LIMITED,0,0,0
235,GDS GLOBAL LIMITED,0,0,0
236,GENTING SINGAPORE LIMITED,0,0,0
237,GEO ENERGY RESOURCES LIMITED,0,0,0
238,GKE CORPORATION LIMITED,0,1,1
239,GL LIMITED,0,0,0
240,GLOBAL DRAGON LIMITED,0,0,0
241,GLOBAL INVACOM GROUP LIMITED,0,0,0
242,GLOBAL INVESTMENTS LIMITED,0,0,0
243,GLOBAL PALM RESOURCES HOLDINGS LIMITED,0,0,0
244,GLOBAL TESTING CORPORATION LIMITED,0,0,0
245,GOLDEN AGRI-RESOURCES LIMITED,0,0,0
246,GOLDEN ENERGY AND RESOURCES LIMITED,0,0,0
247,GOODLAND GROUP LIMITED,0,0,0
248,GP INDUSTRIES LIMITED,0,0,0
249,GRAND BANKS YACHTS LIMITED,0,0,0
250,GRAND VENTURE TECHNOLOGY LIMITED,0,0,0
251,GREAT EASTERN HOLDINGS LIMITED,1,3,4
252,GREEN BUILD TECHNOLOGY LIMITED,0,0,0
253,GRP LIMITED,1,1,2
254,GS HOLDINGS LIMITED,0,0,0
255,GSH CORPORATION LIMITED,0,0,0
256,GSS ENERGY LIMITED,0,0,0
257,GUOAN INTERNATIONAL LIMITED,0,0,0
258,GUOCOLAND LIMITED,0,0,0
259,GYP PROPERTIES LIMITED,0,0,0
260,HAFARY HOLDINGS LIMITED,0,0,0
261,HAI LECK HOLDINGS LIMITED,0,0,0
262,HALCYON AGRI CORPORATION LIMITED,0,0,0
263,HANWELL HOLDINGS LIMITED,0,1,1
264,HATTEN LAND LIMITED,0,0,0
265,HAW PAR CORPORATION LIMITED,3,2,5
266,HC SURGICAL SPECIALISTS LIMITED,0,1,1
267,HEALTH MANAGEMENT INTERNATIONAL LIMITED,0,0,0
268,HEALTHBANK HOLDINGS LIMITED,0,0,0
269,HEALTHWAY MEDICAL CORPORATION LIMITED,0,0,0
270,HEATEC JIETONG HOLDINGS LIMITED,0,0,0
271,HEETON HOLDINGS LIMITED,0,0,0
272,HENGYANG PETROCHEMICAL LOGISTICS LIMITED,0,0,0
273,HG METAL MANUFACTURING LIMITED,0,0,0
274,HI-P INTERNATIONAL LIMITED,0,0,0
275,HIAP HOE LIMITED,0,1,1
276,HIAP SENG ENGINEERING LIMITED,0,0,0
277,HIAP TONG CORPORATION LIMITED,0,0,0
278,HL GLOBAL ENTERPRISES LIMITED,1,0,1
279,HO BEE LAND LIMITED,0,0,0
280,HOCK LIAN SENG HOLDINGS LIMITED,0,0,0
281,HOE LEONG CORPORATION LIMITED,3,0,3
282,HONG FOK CORPORATION LIMITED,0,0,0
283,HONG LAI HUAT GROUP LIMITED,0,0,0
284,HONG LEONG ASIA LIMITED,0,0,0
285,HONG LEONG FINANCE LIMITED,1,0,1
286,HONGKONG LAND HOLDINGS LIMITED,1,0,1
287,HOR KEW CORPORATION LIMITED,0,0,0
288,HOSEN GROUP LIMITED,0,0,0
289,HOTEL GRAND CENTRAL LIMITED,0,0,0
290,HOTEL PROPERTIES LIMITED,0,0,0
291,HOTEL ROYAL LIMITED,1,0,1
292,HOTUNG INVESTMENT HOLDINGS LIMITED,0,0,0
293,HRNETGROUP LIMITED,0,0,0
294,HU AN CABLE HOLDINGS LIMITED,0,0,0
295,HUAN HSIN HOLDINGS LIMITED,1,0,1
296,HUATIONG GLOBAL LIMITED,0,0,0
